"Fruits: Retail Prices of Agricultural Commodities by Geolocation, Commodity, Year and Period"

"Geolocation","Commodity","2020 January","2020 February","2020 March","2020 April","2020 May","2020 June","2020 July","2020 August","2020 September","2020 October","2020 November","2020 December","2021 January","2021 February","2021 March","2021 April","2021 May","2021 June","2021 July","2021 August","2021 September","2021 October","2021 November","2021 December","2022 January","2022 February","2022 March","2022 April","2022 May","2022 June","2022 July","2022 August","2022 September","2022 October","2022 November","2022 December","2023 January","2023 February","2023 March","2023 April","2023 May","2023 June","2023 July","2023 August","2023 September","2023 October","2023 November","2023 December","2024 January","2024 February","2024 March","2024 April","2024 May","2024 June","2024 July","2024 August","2024 September","2024 October","2024 November","2024 December"
"..National Capital Region (NCR)","FRESH FRUIT, ORANGE, SINTONES, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","FRESH FRUIT, MANDARIN, DALANGHITA, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","CALAMANSI, LOOSE, 1 KG",74.14,55.97,98.97,93.39,67.54,62.91,58.40,54.48,50.05,47.92,56.69,63.29,69.24,99.90,81.77,83.29,92.91,69.96,60.94,59.53,60.94,54.35,79.60,74.89,79.44,86.67,98.37,99.35,88.51,76.03,76.51,75.75,71.65,82.39,100.99,109.82,100.79,77.46,103.92,118.77,102.96,84.72,77.01,75.46,69.31,77.33,94.46,84.24,84.02,102.58,86.55,79.11,111.96,114.89,132.56,113.17,85.41,77.85,86.24,78.78
"..National Capital Region (NCR)","FRESH FRUIT, APPLE, RED DELICIOUS, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","FRESH FRUIT, CANTALOUPE, MELON, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","FRESH FRUIT, WATERMELON, PAKWAN, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, AVOCADO, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, BANANA, CARDAVA, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, BANANA, LAKATAN, MEDIUM, 1 KG",71.38,71.34,78.80,81.55,86.16,82.67,82.62,81.41,78.75,77.52,80.16,84.17,87.51,86.75,85.56,88.18,85.50,83.04,79.79,79.65,77.43,80.39,80.96,78.68,80.46,82.78,82.55,82.79,81.74,75.89,72.10,73.36,74.56,71.34,78.43,81.27,83.65,88.28,89.03,89.22,93.11,92.58,89.12,88.87,87.62,89.88,96.63,98.59,103.48,105.18,103.11,99.55,101.90,100.05,94.71,96.08,97.29,101.99,105.48,104.97
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, BANANA, LATUNDAN, MEDIUM, 1 KG",48.89,49.52,54.78,57.72,64.52,63.34,51.01,49.83,49.20,49.20,52.84,50.97,50.97,48.75,48.75,51.88,53.75,53.75,48.75,47.19,52.82,52.19,49.07,48.75,49.38,51.25,52.82,52.19,54.07,52.50,52.19,53.75,55.32,51.57,50.94,51.57,57.82,54.07,56.57,59.07,58.44,57.19,52.19,54.75,56.63,56.63,57.94,54.82,59.69,61.57,60.32,62.19,59.69,59.07,53.44,51.57,53.44,50.94,53.44,52.19
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, BANANA, SABA, MEDIUM, 1 KG",39.75,41.56,42.66,44.38,45.24,44.92,45.56,45.24,42.01,41.04,43.43,44.92,45.57,45.57,45.24,46.54,42.66,42.98,44.28,44.34,46.85,46.54,47.59,42.11,48.07,49.50,49.75,47.78,47.71,48.59,48.63,48.53,49.53,50.59,51.13,51.34,52.88,51.32,51.82,53.48,52.52,54.29,52.21,50.44,52.50,53.82,54.71,55.57,54.29,53.94,54.94,53.32,54.57,53.61,50.36,51.78,51.69,55.19,57.92,58.96
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, GUAVA, BAYABAS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, MANGO, CEBU, RIPE, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, MANGO, INDIAN, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, MANGO, KALABAW, RIPE, MEDIUM, 1 KG",78.75,83.75,81.88,77.09,75.00,68.44,68.44,79.07,79.69,83.75,93.13,96.88,98.13,100.00,90.00,83.13,79.38,66.25,62.13,73.13,71.67,71.67,72.92,90.42,102.50,110.00,100.00,91.88,80.00,81.25,83.75,89.38,92.50,92.50,111.88,128.13,148.75,147.50,140.63,123.75,95.63,80.63,78.75,78.75,78.75,78.75,85.94,103.75,123.75,115.00,110.00,100.00,90.00,66.25,67.50,66.25,66.25,83.75,101.25,101.25
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, MANGO, NATIVE, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, MANGO, NATIVE, RIPE, MEDIUM, 1 KG",76.27,80.48,85.89,83.41,80.10,73.94,69.46,73.65,73.65,78.96,88.14,88.14,88.14,88.98,90.88,93.52,90.75,76.90,77.26,79.46,82.63,83.05,83.46,89.65,136.19,138.93,126.82,115.12,94.76,99.11,95.08,95.08,120.48,120.54,130.06,142.77,139.75,141.37,134.70,130.77,103.93,91.62,99.14,113.13,119.80,124.56,124.86,133.91,127.72,132.44,138.45,127.80,92.06,50.66,82.56,106.61,106.61,106.61,106.61,113.27
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, MANGO, PIKO, RIPE, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, MANGO, RIPE, MEDIUM, 1 KG",129.65,141.99,137.05,139.94,107.42,79.02,86.43,97.55,118.54,148.17,142.00,147.56,156.81,160.52,158.05,140.76,109.89,113.60,148.17,161.50,163.84,177.34,178.77,181.17,180.44,173.40,150.50,142.97,130.89,169.10,183.20,206.70,203.70,200.55,206.25,207.27,181.18,199.24,178.92,176.67,154.54,146.47,164.80,170.05,185.10,215.87,222.59,212.37,209.62,198.20,191.80,176.17,151.67,127.25,125.07,158.84,178.67,190.67,186.34,202.00
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, PAPAYA, MEDIUM, 1 KG",53.75,52.50,49.38,52.50,60.00,57.50,60.63,53.75,50.00,50.00,52.50,50.63,50.00,47.50,48.13,46.88,45.63,44.38,46.88,46.25,46.25,44.38,45.00,45.63,45.00,45.00,45.00,43.75,43.75,44.38,44.38,45.63,45.00,47.50,46.25,47.50,47.50,45.00,45.00,45.00,46.25,46.25,46.25,46.25,47.50,46.25,43.13,49.38,46.88,46.88,48.75,53.13,52.50,52.50,53.75,53.75,50.00,53.13,53.13,52.50
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, PAPAYA, NATIVE, MEDIUM, 1 KG",37.21,37.42,38.07,39.99,40.40,39.36,40.00,42.52,41.22,41.66,40.15,40.34,41.82,39.94,38.23,40.15,39.96,40.83,40.69,47.61,46.71,50.80,51.35,47.80,45.76,46.71,46.75,48.18,47.30,48.65,47.85,46.78,44.83,45.32,49.85,49.20,47.55,49.35,50.55,51.81,53.10,49.46,46.79,49.67,50.84,52.02,52.17,50.97,50.17,49.91,50.36,49.36,51.65,51.96,52.80,51.20,51.08,50.95,54.61,54.78
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, PAPAYA, NATIVE, RIPE, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, PAPAYA, SOLO, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, PAPAYA, TAGALOG, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, PINEAPPLE, PINYA, FORMOSA, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, PINEAPPLE, PINYA, HAWAIIAN, MEDIUM, 1 KG",56.04,58.83,60.23,68.42,68.14,66.30,52.09,53.95,56.03,57.88,58.30,64.31,62.13,61.20,60.74,63.53,64.78,63.43,69.18,76.48,76.08,79.13,76.30,75.93,79.08,78.91,77.51,84.20,79.74,76.04,67.81,69.14,71.08,73.64,83.28,82.28,81.71,80.51,83.90,87.29,86.00,87.92,80.60,76.83,79.50,93.35,93.89,90.34,92.07,98.11,93.48,89.20,90.28,93.47,85.09,79.33,82.85,86.08,93.72,98.32
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, PINEAPPLE, PINYA, MEDIUM, 1 KG",75.00,74.00,76.00,73.33,72.00,70.00,71.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,71.00,70.00,70.00,62.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,75.00,75.00,75.00,75.00,67.50,60.00,60.00,75.00,75.00,70.00,70.00,70.00,70.00,67.50,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,56.00,54.00,60.00,66.00,66.00,63.00,62.00,62.00
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, GRAPES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, GRAPES, SEEDLESS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, GRAPES, WITH SEEDS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, GUYABANO, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, JACKFRUIT, LANGKA, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, LANZONES, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, RAMBUTAN, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, POMELO, MEDIUM, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","FRESH FRUIT, ORANGE, DALANDAN, MEDIUM, 1 KG",68.57,68.57,68.57,91.43,94.29,82.86,84.29,90.00,95.71,87.14,74.29,75.71,85.71,77.14,75.71,71.43,75.71,75.71,75.71,75.71,75.71,81.43,81.43,82.86,78.57,84.29,80.00,80.00,80.00,80.00,74.29,77.14,80.00,80.00,78.57,70.00,78.57,80.00,78.57,77.14,77.14,75.71,81.43,77.14,77.14,77.14,77.14,77.14,77.14,88.57,88.57,88.57,88.57,78.57,88.57,90.00,85.71,77.14,81.43,90.00
