"Fruits: Farmgate Prices by Commodity, by Region and by Province, Monthly, 2010-2024"

"Geolocation","Commodity","2020 January","2020 February","2020 March","2020 April","2020 May","2020 June","2020 July","2020 August","2020 September","2020 October","2020 November","2020 December","2021 January","2021 February","2021 March","2021 April","2021 May","2021 June","2021 July","2021 August","2021 September","2021 October","2021 November","2021 December","2022 January","2022 February","2022 March","2022 April","2022 May","2022 June","2022 July","2022 August","2022 September","2022 October","2022 November","2022 December","2023 January","2023 February","2023 March","2023 April","2023 May","2023 June","2023 July","2023 August","2023 September","2023 October","2023 November","2023 December","2024 January","2024 February","2024 March","2024 April","2024 May","2024 June","2024 July","2024 August","2024 September","2024 October","2024 November","2024 December"
"..National Capital Region (NCR)","Siniguelas [Jamaica plum]",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Starapple",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Tamarind",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Watermelon",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Anonas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Aratelis (Manzanita)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Balimbing",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Banana, Other Variety",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Bignay",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Breadfruit",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Camatchili",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Canistel",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Duhat",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Golden Melon",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Karamay",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Lemon",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Lime",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Makopa",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Passion fruit",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Tambis",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Atis [Sugarapple]",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Avocado",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.34,50.00,19.41,28.82,36.70,46.58,..,..,..,48.00,..,65.00,54.41,38.34,48.43,55.72,39.72,26.39,..,..,..
"..Cordillera Administrative Region (CAR)","Banana Bungulan, green",21.90,23.48,24.91,23.28,22.69,23.65,24.02,19.50,21.74,21.52,20.34,20.74,22.69,21.77,22.25,20.73,16.18,19.61,16.53,16.88,21.54,20.84,21.19,18.62,21.01,20.25,23.84,27.88,23.99,20.10,20.98,25.76,21.58,22.17,24.27,29.57,28.64,21.24,23.12,25.77,25.93,24.93,23.94,24.52,25.09,24.85,23.96,25.25,22.65,18.48,19.51,21.52,20.47,18.80,22.18,23.77,17.49,..,..,..
"..Cordillera Administrative Region (CAR)","Banana Cavendish",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.00,51.00,51.00,51.00,51.00,30.00,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Banana Lakatan, green",28.93,28.07,30.41,35.29,33.04,32.72,30.96,31.07,33.10,31.91,29.66,32.00,31.05,31.65,31.33,31.49,31.06,28.63,31.86,30.20,33.75,29.57,30.31,29.52,29.70,30.28,31.82,28.77,27.31,27.46,21.48,17.43,19.42,21.54,21.30,22.76,25.74,23.98,24.73,28.99,26.62,27.34,26.37,25.59,29.00,28.42,28.72,30.03,30.49,30.91,29.28,27.83,27.60,31.51,43.72,31.84,34.54,..,..,..
"..Cordillera Administrative Region (CAR)","Banana Latundan, green",20.29,20.48,19.68,19.76,20.92,20.21,20.00,20.07,20.13,20.19,19.58,19.52,18.60,19.50,19.15,18.54,17.77,19.11,17.53,19.53,20.67,16.50,18.11,17.39,18.45,16.94,17.41,17.26,18.18,16.95,14.75,16.22,14.82,16.46,15.22,18.73,17.97,15.49,18.20,17.70,18.10,16.21,17.15,18.13,18.68,18.25,22.06,18.72,18.20,22.66,21.17,18.34,20.43,14.89,18.46,30.89,17.61,..,..,..
"..Cordillera Administrative Region (CAR)","Banana Saba, green",17.28,17.51,18.29,16.62,16.29,15.75,16.29,15.81,15.77,16.45,15.75,17.30,15.59,16.15,15.47,16.55,16.14,17.47,15.88,16.47,18.26,16.94,15.93,16.31,15.12,14.75,16.02,16.29,17.04,13.28,14.04,14.98,14.27,15.34,13.65,14.87,15.96,15.29,16.43,16.45,17.98,16.33,15.96,16.90,17.23,16.25,17.24,18.46,19.18,21.17,18.26,15.44,17.57,23.82,18.27,44.40,20.76,..,..,..
"..Cordillera Administrative Region (CAR)","Calamansi",22.23,17.23,27.11,27.46,29.05,25.40,23.60,21.09,20.11,15.89,19.26,24.58,25.50,30.48,46.57,37.67,33.84,33.21,36.33,33.90,33.12,29.63,26.04,24.88,26.89,34.89,35.82,35.18,34.39,37.72,32.15,29.77,30.22,21.08,24.30,28.06,27.95,34.28,38.24,44.22,48.80,33.03,27.09,28.96,25.49,26.63,32.64,32.15,35.30,37.50,40.89,37.95,31.66,36.70,90.00,76.74,54.10,..,..,..
"..Cordillera Administrative Region (CAR)","Chico [Sapota]",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.00,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Dragon fruit",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,200.00,..,..,70.00,70.00,70.00,100.00,100.00,98.05,..,..,..
"..Cordillera Administrative Region (CAR)","Durian",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.00,..,..,..,..
"..Cordillera Administrative Region (CAR)","Grapes, green",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Grapes, red",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Guapple",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Guava",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.00,25.00,25.00,30.00,30.00,30.00,10.00,14.49,25.15,..,..,..
"..Cordillera Administrative Region (CAR)","Guayabano [Soursop]",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.50,42.50,40.00,45.26,15.00,45.00,30.00,30.00,30.00,..,..,..
"..Cordillera Administrative Region (CAR)","Honeydew melon",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.00,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Jackfruit, ripe",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62.50,53.33,50.56,120.00,120.00,120.00,50.00,50.00,50.00,..,..,..
"..Cordillera Administrative Region (CAR)","Lanzones",..,..,..,..,..,..,..,181.38,97.70,75.08,..,..,..,..,..,..,..,..,..,..,194.16,129.50,..,..,..,..,..,..,..,..,..,169.15,122.18,73.95,..,..,..,..,..,..,..,..,..,138.54,119.71,81.59,..,..,66.67,..,..,..,..,..,..,70.00,79.82,..,..,..
"..Cordillera Administrative Region (CAR)","Mandarin Ladu",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.90,79.94,86.44,80.00,..,..,..,..,..,100.00,99.59,118.70,..,..,..
"..Cordillera Administrative Region (CAR)","Mandarin Szinkom",..,..,..,..,24.54,29.97,19.68,12.87,19.70,18.09,22.91,..,..,..,..,..,23.20,..,..,25.00,28.30,16.62,19.39,..,..,..,..,..,..,..,..,15.03,18.47,18.92,16.94,..,..,..,..,..,..,..,..,..,36.07,21.07,26.53,..,30.00,..,..,..,..,..,30.00,..,30.00,..,..,..
"..Cordillera Administrative Region (CAR)","Mango Carabao, green",19.88,33.68,23.12,20.78,32.44,36.04,..,..,..,..,..,..,51.79,60.53,32.77,45.19,33.84,48.41,65.86,..,..,..,..,..,35.55,32.58,36.08,39.76,35.96,44.26,36.44,..,..,..,..,..,55.02,49.11,63.44,50.47,36.72,56.73,43.42,..,..,..,..,..,60.00,50.00,50.00,31.25,20.85,40.00,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Mango Indian, green",..,..,..,..,17.16,9.96,..,..,..,..,..,..,..,..,..,20.71,19.27,..,..,..,..,..,..,..,..,..,..,28.43,12.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.00,50.00,50.00,26.02,21.27,25.00,25.00,24.33,20.00,..,..,..
"..Cordillera Administrative Region (CAR)","Mango Piko, green",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Mango, Other Variety",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.00,50.00,23.23,50.00,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Mangosteen",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
