,Species,Geolocation,Value,Year,Quarter,Volume
103,Grouper,Cordillera Administrative Region (CAR),4261.493333333333,2020, Quarter 1,35.376666666666665
104,Grouper,Region I (Ilocos Region),246.9,2020, Quarter 1,0.33
105,Grouper,Region II (Cagayan Valley),27.5,2020, Quarter 1,0.05
106,Grouper,Region III (Central Luzon),387369.5233333334,2020, Quarter 1,3658.9566666666665
107,Grouper,Region IV-A (CALABARZON),2342.3,2020, Quarter 1,4.34
108,Grouper,MIMAROPA Region,76.3,2020, Quarter 1,0.28
109,Grouper,Region V (Bicol Region),9.86,2020, Quarter 1,0.02
110,Grouper,Region VI (Western Visayas),6730.41,2020, Quarter 1,12.57
111,Grouper,Region VII (Central Visayas),62.0,2020, Quarter 1,0.1
112,Grouper,Region VIII (Eastern Visayas),4.5,2020, Quarter 1,0.01
113,Grouper,Region IX (Zamboanga Peninsula),122.14,2020, Quarter 1,0.3
114,Grouper,Region X (Nothern Mindanao),99365.10666666667,2020, Quarter 1,742.7566666666667
115,Grouper,Region XI (Davao Region),116842.57333333335,2020, Quarter 1,996.31
116,Grouper,Region XII (SOCCSKSARGEN),5321.686666666667,2020, Quarter 1,45.06
117,Grouper,Region XIII (Caraga),15.0,2020, Quarter 1,0.02
118,Grouper,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),5.08,2020, Quarter 1,0.05
119,Siganid,National Capital Region (NCR),23567.690000000002,2020, Quarter 1,3295.4966666666664
120,Siganid,Cordillera Administrative Region (CAR),431327.2,2020, Quarter 1,73752.60666666666
121,Siganid,Region I (Ilocos Region),4687.21,2020, Quarter 1,14.38
122,Siganid,Region II (Cagayan Valley),592.84,2020, Quarter 1,1.79
123,Siganid,Region III (Central Luzon),5.6,2020, Quarter 1,0.02
124,Siganid,Region IV-A (CALABARZON),85.08999999999999,2020, Quarter 1,6.596666666666667
125,Siganid,MIMAROPA Region,31035.903333333335,2020, Quarter 1,3309.9999999999995
126,Siganid,Region V (Bicol Region),20225.71,2020, Quarter 1,1671.3033333333335
127,Siganid,Region VI (Western Visayas),411.28,2020, Quarter 1,1.06
128,Siganid,Region VII (Central Visayas),10.2,2020, Quarter 1,0.07
129,Siganid,Region VIII (Eastern Visayas),2.8,2020, Quarter 1,0.02
130,Siganid,Region IX (Zamboanga Peninsula),3.0,2020, Quarter 1,0.05
131,Siganid,Region X (Nothern Mindanao),0.64,2020, Quarter 1,0.01
132,Siganid,Region XI (Davao Region),1142.72,2020, Quarter 1,4.58
133,Siganid,Region XII (SOCCSKSARGEN),102.6,2020, Quarter 1,0.46
134,Siganid,Region XIII (Caraga),11.75,2020, Quarter 1,0.08
135,Siganid,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),421630.0833333333,2020, Quarter 1,70503.51666666666
136,P. Vannamei,National Capital Region (NCR),3477.3199999999997,2020, Quarter 1,3.9099999999999997
137,P. Vannamei,Cordillera Administrative Region (CAR),432024.18,2020, Quarter 1,73754.68333333333
138,P. Vannamei,Region I (Ilocos Region),1822.27,2020, Quarter 1,4.27
139,P. Vannamei,Region II (Cagayan Valley),14865.82,2020, Quarter 1,43.72
140,P. Vannamei,Region III (Central Luzon),296828.78,2020, Quarter 1,1020.47
141,P. Vannamei,Region IV-A (CALABARZON),57296.57,2020, Quarter 1,179.03
142,P. Vannamei,MIMAROPA Region,2207.94,2020, Quarter 1,6.31
143,P. Vannamei,Region V (Bicol Region),270.0,2020, Quarter 1,1.5
144,P. Vannamei,Region VI (Western Visayas),13352.75,2020, Quarter 1,53.39
145,P. Vannamei,Region VII (Central Visayas),370049.81,2020, Quarter 1,1442.51
146,P. Vannamei,Region VIII (Eastern Visayas),8475.0,2020, Quarter 1,32.6
147,P. Vannamei,Region IX (Zamboanga Peninsula),7.8,2020, Quarter 1,0.1
148,P. Vannamei,Region X (Nothern Mindanao),80.21,2020, Quarter 1,0.36
149,P. Vannamei,Region XI (Davao Region),138414.67,2020, Quarter 1,667.83
150,P. Vannamei,Region XII (SOCCSKSARGEN),295778.1,2020, Quarter 1,1367.48
151,P. Vannamei,Region XIII (Caraga),1885.3,2020, Quarter 1,6.55
152,P. Vannamei,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),410032.31,2020, Quarter 1,70464.37333333334
153,Spiny Lobster,National Capital Region (NCR),53050.036666666674,2020, Quarter 1,99.70333333333333
154,Spiny Lobster,Cordillera Administrative Region (CAR),19815.383333333335,2020, Quarter 1,56.14333333333334
155,Spiny Lobster,Region I (Ilocos Region),46296.64333333333,2020, Quarter 1,86.42333333333333
156,Spiny Lobster,Region II (Cagayan Valley),44931.85333333333,2020, Quarter 1,6.996666666666667
157,Spiny Lobster,Region III (Central Luzon),880538.92,2020, Quarter 1,1578.32
158,Spiny Lobster,Region IV-A (CALABARZON),907022.5733333334,2020, Quarter 1,1588.26
159,Spiny Lobster,MIMAROPA Region,9702.886666666667,2020, Quarter 1,3324.35
160,Spiny Lobster,Region V (Bicol Region),22196.16,2020, Quarter 1,53.080000000000005
161,Spiny Lobster,Region VI (Western Visayas),253.0,2020, Quarter 1,0.12
162,Spiny Lobster,Region VII (Central Visayas),3856.066666666667,2020, Quarter 1,11.146666666666667
163,Spiny Lobster,Region VIII (Eastern Visayas),4.466666666666666,2020, Quarter 1,0.01
164,Spiny Lobster,Region IX (Zamboanga Peninsula),27213.84,2020, Quarter 1,83.96333333333332
165,Spiny Lobster,Region X (Nothern Mindanao),361422.7266666666,2020, Quarter 1,863.6999999999999
166,Spiny Lobster,Region XI (Davao Region),398.7266666666667,2020, Quarter 1,1.5633333333333332
167,Spiny Lobster,Region XII (SOCCSKSARGEN),361.97,2020, Quarter 1,0.3633333333333333
168,Spiny Lobster,Region XIII (Caraga),963.38,2020, Quarter 1,0.58
169,Spiny Lobster,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),117.0,2020, Quarter 1,0.08
170,Carp,National Capital Region (NCR),156.53333333333333,2020, Quarter 1,1.63
171,Carp,Cordillera Administrative Region (CAR),3.22,2020, Quarter 1,0.02
172,Carp,Region I (Ilocos Region),43.08,2020, Quarter 1,0.76
173,Carp,Region II (Cagayan Valley),56.12,2020, Quarter 1,0.59
174,Carp,Region III (Central Luzon),349.68,2020, Quarter 1,10.42
175,Carp,Region IV-A (CALABARZON),39697.21,2020, Quarter 1,1008.29
176,Carp,MIMAROPA Region,23.87,2020, Quarter 1,0.2733333333333334
177,Carp,Region V (Bicol Region),125.0,2020, Quarter 1,2.5
178,Carp,Region VI (Western Visayas),3.0,2020, Quarter 1,0.03
179,Carp,Region VII (Central Visayas),2.2,2020, Quarter 1,0.02
180,Carp,Region VIII (Eastern Visayas),102.57333333333332,2020, Quarter 1,0.82
181,Carp,Region IX (Zamboanga Peninsula),5.64,2020, Quarter 1,0.09
182,Carp,Region X (Nothern Mindanao),287.52,2020, Quarter 1,2.33
183,Carp,Region XI (Davao Region),164.29,2020, Quarter 1,2.03
184,Carp,Region XII (SOCCSKSARGEN),26.76,2020, Quarter 1,0.32
185,Carp,Region XIII (Caraga),7.1,2020, Quarter 1,0.08
186,Carp,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),1069.6,2020, Quarter 1,10.113333333333333
187,Catfish,National Capital Region (NCR),2346.46,2020, Quarter 1,6.703333333333333
188,Catfish,Cordillera Administrative Region (CAR),1069.6,2020, Quarter 1,10.113333333333333
189,Catfish,Region I (Ilocos Region),421.54,2020, Quarter 1,4.09
190,Catfish,Region II (Cagayan Valley),2834.92,2020, Quarter 1,27.72
191,Catfish,Region III (Central Luzon),63479.56,2020, Quarter 1,667.06
192,Catfish,Region IV-A (CALABARZON),3929.42,2020, Quarter 1,47.35
193,Catfish,MIMAROPA Region,4.98,2020, Quarter 1,0.04
194,Catfish,Region V (Bicol Region),605.0,2020, Quarter 1,5.5
195,Catfish,Region VI (Western Visayas),17185.69,2020, Quarter 1,131.8
196,Catfish,Region VII (Central Visayas),4.62,2020, Quarter 1,0.05
197,Catfish,Region VIII (Eastern Visayas),18.0,2020, Quarter 1,0.11
198,Catfish,Region IX (Zamboanga Peninsula),4.76,2020, Quarter 1,0.07
199,Catfish,Region X (Nothern Mindanao),23.15,2020, Quarter 1,0.32
200,Catfish,Region XI (Davao Region),29481.26,2020, Quarter 1,236.33
201,Catfish,Region XII (SOCCSKSARGEN),7731.16,2020, Quarter 1,63.31
202,Catfish,Region XIII (Caraga),2.4,2020, Quarter 1,0.03
203,Catfish,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),3200.6,2020, Quarter 1,30.28
204,Gourami,National Capital Region (NCR),112.71,2020, Quarter 1,0.6900000000000001
205,Gourami,Cordillera Administrative Region (CAR),4261.493333333333,2020, Quarter 1,35.376666666666665
206,Gourami,Region I (Ilocos Region),91.05,2020, Quarter 1,1.46
207,Gourami,Region II (Cagayan Valley),0.93,2020, Quarter 1,0.01
208,Gourami,Region III (Central Luzon),231.56,2020, Quarter 1,5.61
209,Gourami,Region IV-A (CALABARZON),861.0600000000001,2020, Quarter 1,3.323333333333333
210,Gourami,MIMAROPA Region,4280.9366666666665,2020, Quarter 1,35.846666666666664
211,Gourami,Region V (Bicol Region),2287.47,2020, Quarter 1,4.296666666666667
212,Gourami,Region VI (Western Visayas),2262.5633333333335,2020, Quarter 1,4.3500000000000005
213,Gourami,Region VII (Central Visayas),2264.39,2020, Quarter 1,4.223333333333334
214,Gourami,Region VIII (Eastern Visayas),22.42,2020, Quarter 1,0.03666666666666667
215,Gourami,Region IX (Zamboanga Peninsula),824.7666666666668,2020, Quarter 1,0.11333333333333334
216,Gourami,Region X (Nothern Mindanao),3.376666666666667,2020, Quarter 1,0.02
217,Gourami,Region XI (Davao Region),4.65,2020, Quarter 1,0.04
218,Gourami,Region XII (SOCCSKSARGEN),12.45,2020, Quarter 1,0.2
219,Gourami,Region XIII (Caraga),9.273333333333333,2020, Quarter 1,0.07666666666666667
220,Gourami,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),30821.983333333337,2020, Quarter 1,314.01
221,Mudfish,National Capital Region (NCR),1012.1800000000002,2020, Quarter 1,18.51666666666667
222,Mudfish,Cordillera Administrative Region (CAR),727.9966666666668,2020, Quarter 1,2.603333333333333
223,Mudfish,Region I (Ilocos Region),1171.89,2020, Quarter 1,11.98
224,Mudfish,Region II (Cagayan Valley),386.17,2020, Quarter 1,3.63
225,Mudfish,Region III (Central Luzon),4434.18,2020, Quarter 1,42.08
226,Mudfish,Region IV-A (CALABARZON),1.68,2020, Quarter 1,0.01
227,Mudfish,MIMAROPA Region,0.44,2020, Quarter 1,0.01
228,Mudfish,Region V (Bicol Region),3.0,2020, Quarter 1,0.03
229,Mudfish,Region VI (Western Visayas),1.74,2020, Quarter 1,0.01
230,Mudfish,Region VII (Central Visayas),11.66,2020, Quarter 1,0.1
231,Mudfish,Region VIII (Eastern Visayas),0.3,2020, Quarter 1,0.0
232,Mudfish,Region IX (Zamboanga Peninsula),802.68,2020, Quarter 1,11.47
233,Mudfish,Region X (Nothern Mindanao),415.08,2020, Quarter 1,3.97
234,Mudfish,Region XI (Davao Region),206.82,2020, Quarter 1,1.9
235,Mudfish,Region XII (SOCCSKSARGEN),1176.06,2020, Quarter 1,13.47
236,Mudfish,Region XIII (Caraga),6.19,2020, Quarter 1,0.08
237,Mudfish,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),31503.873333333337,2020, Quarter 1,316.45666666666665
238,Freshwater Prawn,National Capital Region (NCR),2225.483333333333,2020, Quarter 1,5.8133333333333335
239,Freshwater Prawn,Cordillera Administrative Region (CAR),48.26333333333333,2020, Quarter 1,0.19666666666666668
240,Freshwater Prawn,Region I (Ilocos Region),0.18,2020, Quarter 1,0.0
241,Freshwater Prawn,Region II (Cagayan Valley),20.14,2020, Quarter 1,0.05
242,Freshwater Prawn,Region III (Central Luzon),99.14999999999999,2020, Quarter 1,0.06
243,Freshwater Prawn,Region IV-A (CALABARZON),9.32,2020, Quarter 1,0.02
244,Freshwater Prawn,MIMAROPA Region,48.22999999999999,2020, Quarter 1,0.19666666666666668
245,Freshwater Prawn,Region V (Bicol Region),908.8533333333335,2020, Quarter 1,5.3933333333333335
246,Freshwater Prawn,Region VI (Western Visayas),56.52,2020, Quarter 1,0.38
247,Freshwater Prawn,Region VII (Central Visayas),0.76,2020, Quarter 1,0.0
248,Freshwater Prawn,Region VIII (Eastern Visayas),227.51333333333332,2020, Quarter 1,1.4433333333333334
249,Freshwater Prawn,Region IX (Zamboanga Peninsula),10.4,2020, Quarter 1,0.06
250,Freshwater Prawn,Region X (Nothern Mindanao),365.8066666666667,2020, Quarter 1,1.4566666666666668
251,Freshwater Prawn,Region XI (Davao Region),0.98,2020, Quarter 1,0.01
252,Freshwater Prawn,Region XII (SOCCSKSARGEN),0.37,2020, Quarter 1,0.01
253,Freshwater Prawn,Region XIII (Caraga),5.073333333333333,2020, Quarter 1,0.08
254,Freshwater Prawn,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),1089.6966666666665,2020, Quarter 1,10.200000000000001
255,Others,National Capital Region (NCR),4563.49,2020, Quarter 1,153.25
256,Others,Cordillera Administrative Region (CAR),408.47333333333336,2020, Quarter 1,40.406666666666666
257,Others,Region I (Ilocos Region),287.67,2020, Quarter 1,4.33
258,Others,Region II (Cagayan Valley),60.75,2020, Quarter 1,0.65
259,Others,Region III (Central Luzon),18080.07,2020, Quarter 1,74.58
260,Others,Region IV-A (CALABARZON),6989.829999999999,2020, Quarter 1,46.343333333333334
261,Others,MIMAROPA Region,223.64,2020, Quarter 1,0.24
262,Others,Region V (Bicol Region),1072.5,2020, Quarter 1,8.18
263,Others,Region VI (Western Visayas),617.9,2020, Quarter 1,4.9
264,Others,Region VII (Central Visayas),1096.41,2020, Quarter 1,2.21
265,Others,Region VIII (Eastern Visayas),0.54,2020, Quarter 1,0.0
266,Others,Region IX (Zamboanga Peninsula),237.66,2020, Quarter 1,0.54
267,Others,Region X (Nothern Mindanao),260.76,2020, Quarter 1,1.6866666666666668
268,Others,Region XI (Davao Region),684.14,2020, Quarter 1,3.35
269,Others,Region XII (SOCCSKSARGEN),4.83,2020, Quarter 1,0.09
270,Others,Region XIII (Caraga),9543.22,2020, Quarter 1,14.73
271,Others,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2.75,2020, Quarter 1,0.03
272,Oyster,National Capital Region (NCR),4262.503333333333,2020, Quarter 1,123.27333333333333
273,Oyster,Cordillera Administrative Region (CAR),811.4433333333333,2020, Quarter 1,2.1933333333333334
274,Oyster,Region I (Ilocos Region),6401.75,2020, Quarter 1,212.24
275,Oyster,Region II (Cagayan Valley),644.75,2020, Quarter 1,54.41
276,Oyster,Region III (Central Luzon),1248.46,2020, Quarter 1,38.41
277,Oyster,Region IV-A (CALABARZON),2651.76,2020, Quarter 1,63.91
278,Oyster,MIMAROPA Region,2331.69,2020, Quarter 1,53.26666666666667
279,Oyster,Region V (Bicol Region),8987.393333333333,2020, Quarter 1,532.32
280,Oyster,Region VI (Western Visayas),25619.68,2020, Quarter 1,1587.28
281,Oyster,Region VII (Central Visayas),3525.96,2020, Quarter 1,228.96
282,Oyster,Region VIII (Eastern Visayas),17.0,2020, Quarter 1,0.85
283,Oyster,Region IX (Zamboanga Peninsula),2193.81,2020, Quarter 1,123.13
284,Oyster,Region X (Nothern Mindanao),57.94666666666666,2020, Quarter 1,2.956666666666667
285,Oyster,Region XI (Davao Region),76.63,2020, Quarter 1,7.66
286,Oyster,Region XII (SOCCSKSARGEN),98619.85333333333,2020, Quarter 1,458.41
287,Oyster,Region XIII (Caraga),3811.1166666666663,2020, Quarter 1,462.92
288,Oyster,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),410032.31,2020, Quarter 1,70462.34999999999
289,Mussel,National Capital Region (NCR),1864.21,2020, Quarter 1,43.56
290,Mussel,Cordillera Administrative Region (CAR),408.47333333333336,2020, Quarter 1,40.406666666666666
291,Mussel,Region I (Ilocos Region),81.55,2020, Quarter 1,2.33
292,Mussel,Region II (Cagayan Valley),176.15666666666667,2020, Quarter 1,2.2600000000000002
293,Mussel,Region III (Central Luzon),379.6,2020, Quarter 1,3.8
294,Mussel,Region IV-A (CALABARZON),19299.16,2020, Quarter 1,543.49
295,Mussel,MIMAROPA Region,999.03,2020, Quarter 1,120.95
296,Mussel,Region V (Bicol Region),1059.17,2020, Quarter 1,29.37
297,Mussel,Region VI (Western Visayas),53366.09,2020, Quarter 1,3529.83
298,Mussel,Region VII (Central Visayas),18158.053333333333,2020, Quarter 1,1177.3799999999999
299,Mussel,Region VIII (Eastern Visayas),38431.99,2020, Quarter 1,2134.34
300,Mussel,Region IX (Zamboanga Peninsula),6779.833333333333,2020, Quarter 1,185.16666666666666
301,Mussel,Region X (Nothern Mindanao),97.6,2020, Quarter 1,1.71
302,Mussel,Region XI (Davao Region),329.52000000000004,2020, Quarter 1,2.32
303,Mussel,Region XII (SOCCSKSARGEN),462.56999999999994,2020, Quarter 1,9.43
304,Mussel,Region XIII (Caraga),3184.7466666666664,2020, Quarter 1,4.966666666666667
305,Mussel,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),1042.0266666666666,2020, Quarter 1,42.873333333333335
306,Seaweed,National Capital Region (NCR),23567.690000000002,2020, Quarter 1,3295.496666666666
307,Seaweed,Cordillera Administrative Region (CAR),432024.18,2020, Quarter 1,73754.68333333333
308,Seaweed,Region I (Ilocos Region),37.5,2020, Quarter 1,1.15
309,Seaweed,Region II (Cagayan Valley),54.09,2020, Quarter 1,7.21
310,Seaweed,Region III (Central Luzon),108.56,2020, Quarter 1,13.57
311,Seaweed,Region IV-A (CALABARZON),246.67,2020, Quarter 1,19.72
312,Seaweed,MIMAROPA Region,65978.36,2020, Quarter 1,9870.96
313,Seaweed,Region V (Bicol Region),60262.85,2020, Quarter 1,5012.8
314,Seaweed,Region VI (Western Visayas),266987.92,2020, Quarter 1,26684.44
315,Seaweed,Region VII (Central Visayas),92935.48,2020, Quarter 1,15512.11
316,Seaweed,Region VIII (Eastern Visayas),5571.46,2020, Quarter 1,1112.73
317,Seaweed,Region IX (Zamboanga Peninsula),549358.53,2020, Quarter 1,67680.34
318,Seaweed,Region X (Nothern Mindanao),105533.37,2020, Quarter 1,8618.75
319,Seaweed,Region XI (Davao Region),77100.82,2020, Quarter 1,3017.81
320,Seaweed,Region XII (SOCCSKSARGEN),1979.08,2020, Quarter 1,96.89
321,Seaweed,Region XIII (Caraga),4706.49,2020, Quarter 1,732.26
322,Seaweed,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),1227886.24,2020, Quarter 1,211386.78
323,Milkfish,National Capital Region (NCR),2980.67,2020, Quarter 2,44.23
324,Milkfish,Cordillera Administrative Region (CAR),33787.45,2020, Quarter 2,280.19
