,Species,Geolocation,Year-Quarter,Volume,Value
83,..Mudcrab,..Region XIII (Caraga),2020 Quarter 1,71.68,31463.63
84,..Mudcrab,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020 Quarter 1,7.64,2124.30
85,..Endeavor Prawn,..National Capital Region (NCR),2020 Quarter 1,..,..
86,..Endeavor Prawn,..Cordillera Administrative Region (CAR),2020 Quarter 1,..,..
87,..Endeavor Prawn,..Region I (Ilocos Region),2020 Quarter 1,15.98,6612.86
88,..Endeavor Prawn,..Region II (Cagayan Valley),2020 Quarter 1,21.57,5606.98
89,..Endeavor Prawn,..Region III (Central Luzon),2020 Quarter 1,0.11,45.75
90,..Endeavor Prawn,..Region IV-A (CALABARZON),2020 Quarter 1,0.03,5.10
91,..Endeavor Prawn,..MIMAROPA Region,2020 Quarter 1,0.27,63.41
92,..Endeavor Prawn,..Region V (Bicol Region),2020 Quarter 1,0.13,16.78
93,..Endeavor Prawn,..Region VI (Western Visayas),2020 Quarter 1,15.67,2653.26
94,..Endeavor Prawn,..Region VII (Central Visayas),2020 Quarter 1,..,..
95,..Endeavor Prawn,..Region VIII (Eastern Visayas),2020 Quarter 1,..,..
96,..Endeavor Prawn,..Region IX (Zamboanga Peninsula),2020 Quarter 1,..,..
97,..Endeavor Prawn,..Region X (Nothern Mindanao),2020 Quarter 1,4.32,680.80
98,..Endeavor Prawn,..Region XI (Davao Region),2020 Quarter 1,2.08,415.64
99,..Endeavor Prawn,..Region XII (SOCCSKSARGEN),2020 Quarter 1,..,..
100,..Endeavor Prawn,..Region XIII (Caraga),2020 Quarter 1,..,..
101,..Endeavor Prawn,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020 Quarter 1,..,..
102,..White Shrimp,..National Capital Region (NCR),2020 Quarter 1,..,..
103,..White Shrimp,..Cordillera Administrative Region (CAR),2020 Quarter 1,..,..
104,..White Shrimp,..Region I (Ilocos Region),2020 Quarter 1,0.11,27.48
105,..White Shrimp,..Region II (Cagayan Valley),2020 Quarter 1,2.49,249.19
106,..White Shrimp,..Region III (Central Luzon),2020 Quarter 1,18.79,5738.44
107,..White Shrimp,..Region IV-A (CALABARZON),2020 Quarter 1,0.04,7.86
108,..White Shrimp,..MIMAROPA Region,2020 Quarter 1,0.10,11.03
109,..White Shrimp,..Region V (Bicol Region),2020 Quarter 1,0.05,7.63
110,..White Shrimp,..Region VI (Western Visayas),2020 Quarter 1,2.04,376.97
111,..White Shrimp,..Region VII (Central Visayas),2020 Quarter 1,0.30,60.52
112,..White Shrimp,..Region VIII (Eastern Visayas),2020 Quarter 1,..,..
113,..White Shrimp,..Region IX (Zamboanga Peninsula),2020 Quarter 1,6.65,775.67
114,..White Shrimp,..Region X (Nothern Mindanao),2020 Quarter 1,9.21,1253.77
115,..White Shrimp,..Region XI (Davao Region),2020 Quarter 1,0.10,18.50
116,..White Shrimp,..Region XII (SOCCSKSARGEN),2020 Quarter 1,..,..
117,..White Shrimp,..Region XIII (Caraga),2020 Quarter 1,0.53,107.52
118,..White Shrimp,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020 Quarter 1,57.80,10253.14
119,..Grouper,..National Capital Region (NCR),2020 Quarter 1,..,..
120,..Grouper,..Cordillera Administrative Region (CAR),2020 Quarter 1,..,..
121,..Grouper,..Region I (Ilocos Region),2020 Quarter 1,0.33,246.90
122,..Grouper,..Region II (Cagayan Valley),2020 Quarter 1,0.05,27.50
123,..Grouper,..Region III (Central Luzon),2020 Quarter 1,..,..
124,..Grouper,..Region IV-A (CALABARZON),2020 Quarter 1,4.34,2342.30
125,..Grouper,..MIMAROPA Region,2020 Quarter 1,0.28,76.30
126,..Grouper,..Region V (Bicol Region),2020 Quarter 1,0.02,9.86
127,..Grouper,..Region VI (Western Visayas),2020 Quarter 1,12.57,6730.41
128,..Grouper,..Region VII (Central Visayas),2020 Quarter 1,0.10,62.00
129,..Grouper,..Region VIII (Eastern Visayas),2020 Quarter 1,0.01,4.50
130,..Grouper,..Region IX (Zamboanga Peninsula),2020 Quarter 1,0.30,122.14
131,..Grouper,..Region X (Nothern Mindanao),2020 Quarter 1,..,..
132,..Grouper,..Region XI (Davao Region),2020 Quarter 1,..,..
133,..Grouper,..Region XII (SOCCSKSARGEN),2020 Quarter 1,..,..
134,..Grouper,..Region XIII (Caraga),2020 Quarter 1,0.02,15.00
135,..Grouper,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020 Quarter 1,0.05,5.08
136,..Siganid,..National Capital Region (NCR),2020 Quarter 1,..,..
137,..Siganid,..Cordillera Administrative Region (CAR),2020 Quarter 1,..,..
138,..Siganid,..Region I (Ilocos Region),2020 Quarter 1,14.38,4687.21
139,..Siganid,..Region II (Cagayan Valley),2020 Quarter 1,1.79,592.84
140,..Siganid,..Region III (Central Luzon),2020 Quarter 1,0.02,5.60
141,..Siganid,..Region IV-A (CALABARZON),2020 Quarter 1,..,..
142,..Siganid,..MIMAROPA Region,2020 Quarter 1,..,..
143,..Siganid,..Region V (Bicol Region),2020 Quarter 1,..,..
144,..Siganid,..Region VI (Western Visayas),2020 Quarter 1,1.06,411.28
145,..Siganid,..Region VII (Central Visayas),2020 Quarter 1,0.07,10.20
146,..Siganid,..Region VIII (Eastern Visayas),2020 Quarter 1,0.02,2.80
147,..Siganid,..Region IX (Zamboanga Peninsula),2020 Quarter 1,0.05,3.00
148,..Siganid,..Region X (Nothern Mindanao),2020 Quarter 1,0.01,0.64
149,..Siganid,..Region XI (Davao Region),2020 Quarter 1,4.58,1142.72
150,..Siganid,..Region XII (SOCCSKSARGEN),2020 Quarter 1,0.46,102.60
151,..Siganid,..Region XIII (Caraga),2020 Quarter 1,0.08,11.75
152,..Siganid,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020 Quarter 1,..,..
153,..P. Vannamei,..National Capital Region (NCR),2020 Quarter 1,..,..
154,..P. Vannamei,..Cordillera Administrative Region (CAR),2020 Quarter 1,..,..
155,..P. Vannamei,..Region I (Ilocos Region),2020 Quarter 1,4.27,1822.27
156,..P. Vannamei,..Region II (Cagayan Valley),2020 Quarter 1,43.72,14865.82
157,..P. Vannamei,..Region III (Central Luzon),2020 Quarter 1,1020.47,296828.78
158,..P. Vannamei,..Region IV-A (CALABARZON),2020 Quarter 1,179.03,57296.57
159,..P. Vannamei,..MIMAROPA Region,2020 Quarter 1,6.31,2207.94
160,..P. Vannamei,..Region V (Bicol Region),2020 Quarter 1,1.50,270.00
161,..P. Vannamei,..Region VI (Western Visayas),2020 Quarter 1,53.39,13352.75
162,..P. Vannamei,..Region VII (Central Visayas),2020 Quarter 1,1442.51,370049.81
163,..P. Vannamei,..Region VIII (Eastern Visayas),2020 Quarter 1,32.60,8475.00
164,..P. Vannamei,..Region IX (Zamboanga Peninsula),2020 Quarter 1,0.10,7.80
165,..P. Vannamei,..Region X (Nothern Mindanao),2020 Quarter 1,0.36,80.21
166,..P. Vannamei,..Region XI (Davao Region),2020 Quarter 1,667.83,138414.67
167,..P. Vannamei,..Region XII (SOCCSKSARGEN),2020 Quarter 1,1367.48,295778.10
168,..P. Vannamei,..Region XIII (Caraga),2020 Quarter 1,6.55,1885.30
169,..P. Vannamei,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020 Quarter 1,..,..
170,..Spiny Lobster,..National Capital Region (NCR),2020 Quarter 1,..,..
171,..Spiny Lobster,..Cordillera Administrative Region (CAR),2020 Quarter 1,..,..
172,..Spiny Lobster,..Region I (Ilocos Region),2020 Quarter 1,..,..
173,..Spiny Lobster,..Region II (Cagayan Valley),2020 Quarter 1,..,..
174,..Spiny Lobster,..Region III (Central Luzon),2020 Quarter 1,..,..
175,..Spiny Lobster,..Region IV-A (CALABARZON),2020 Quarter 1,..,..
176,..Spiny Lobster,..MIMAROPA Region,2020 Quarter 1,..,..
177,..Spiny Lobster,..Region V (Bicol Region),2020 Quarter 1,..,..
178,..Spiny Lobster,..Region VI (Western Visayas),2020 Quarter 1,0.12,253.00
179,..Spiny Lobster,..Region VII (Central Visayas),2020 Quarter 1,..,..
180,..Spiny Lobster,..Region VIII (Eastern Visayas),2020 Quarter 1,..,..
181,..Spiny Lobster,..Region IX (Zamboanga Peninsula),2020 Quarter 1,..,..
182,..Spiny Lobster,..Region X (Nothern Mindanao),2020 Quarter 1,..,..
183,..Spiny Lobster,..Region XI (Davao Region),2020 Quarter 1,..,..
184,..Spiny Lobster,..Region XII (SOCCSKSARGEN),2020 Quarter 1,..,..
185,..Spiny Lobster,..Region XIII (Caraga),2020 Quarter 1,0.58,963.38
186,..Spiny Lobster,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020 Quarter 1,0.08,117.00
187,..Carp,..National Capital Region (NCR),2020 Quarter 1,..,..
188,..Carp,..Cordillera Administrative Region (CAR),2020 Quarter 1,0.02,3.22
189,..Carp,..Region I (Ilocos Region),2020 Quarter 1,0.76,43.08
190,..Carp,..Region II (Cagayan Valley),2020 Quarter 1,0.59,56.12
191,..Carp,..Region III (Central Luzon),2020 Quarter 1,10.42,349.68
192,..Carp,..Region IV-A (CALABARZON),2020 Quarter 1,1008.29,39697.21
193,..Carp,..MIMAROPA Region,2020 Quarter 1,..,..
194,..Carp,..Region V (Bicol Region),2020 Quarter 1,2.50,125.00
195,..Carp,..Region VI (Western Visayas),2020 Quarter 1,0.03,3.00
196,..Carp,..Region VII (Central Visayas),2020 Quarter 1,0.02,2.20
197,..Carp,..Region VIII (Eastern Visayas),2020 Quarter 1,..,..
198,..Carp,..Region IX (Zamboanga Peninsula),2020 Quarter 1,0.09,5.64
199,..Carp,..Region X (Nothern Mindanao),2020 Quarter 1,2.33,287.52
200,..Carp,..Region XI (Davao Region),2020 Quarter 1,2.03,164.29
201,..Carp,..Region XII (SOCCSKSARGEN),2020 Quarter 1,0.32,26.76
202,..Carp,..Region XIII (Caraga),2020 Quarter 1,0.08,7.10
203,..Carp,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020 Quarter 1,..,..
204,..Catfish,..National Capital Region (NCR),2020 Quarter 1,..,..
205,..Catfish,..Cordillera Administrative Region (CAR),2020 Quarter 1,..,..
206,..Catfish,..Region I (Ilocos Region),2020 Quarter 1,4.09,421.54
207,..Catfish,..Region II (Cagayan Valley),2020 Quarter 1,27.72,2834.92
208,..Catfish,..Region III (Central Luzon),2020 Quarter 1,667.06,63479.56
209,..Catfish,..Region IV-A (CALABARZON),2020 Quarter 1,47.35,3929.42
210,..Catfish,..MIMAROPA Region,2020 Quarter 1,0.04,4.98
211,..Catfish,..Region V (Bicol Region),2020 Quarter 1,5.50,605.00
212,..Catfish,..Region VI (Western Visayas),2020 Quarter 1,131.80,17185.69
213,..Catfish,..Region VII (Central Visayas),2020 Quarter 1,0.05,4.62
214,..Catfish,..Region VIII (Eastern Visayas),2020 Quarter 1,0.11,18.00
215,..Catfish,..Region IX (Zamboanga Peninsula),2020 Quarter 1,0.07,4.76
216,..Catfish,..Region X (Nothern Mindanao),2020 Quarter 1,0.32,23.15
217,..Catfish,..Region XI (Davao Region),2020 Quarter 1,236.33,29481.26
218,..Catfish,..Region XII (SOCCSKSARGEN),2020 Quarter 1,63.31,7731.16
219,..Catfish,..Region XIII (Caraga),2020 Quarter 1,0.03,2.40
220,..Catfish,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020 Quarter 1,30.28,3200.60
221,..Gourami,..National Capital Region (NCR),2020 Quarter 1,..,..
222,..Gourami,..Cordillera Administrative Region (CAR),2020 Quarter 1,..,..
223,..Gourami,..Region I (Ilocos Region),2020 Quarter 1,1.46,91.05
224,..Gourami,..Region II (Cagayan Valley),2020 Quarter 1,0.01,0.93
225,..Gourami,..Region III (Central Luzon),2020 Quarter 1,5.61,231.56
226,..Gourami,..Region IV-A (CALABARZON),2020 Quarter 1,..,..
227,..Gourami,..MIMAROPA Region,2020 Quarter 1,..,..
228,..Gourami,..Region V (Bicol Region),2020 Quarter 1,..,..
229,..Gourami,..Region VI (Western Visayas),2020 Quarter 1,..,..
230,..Gourami,..Region VII (Central Visayas),2020 Quarter 1,..,..
231,..Gourami,..Region VIII (Eastern Visayas),2020 Quarter 1,..,..
232,..Gourami,..Region IX (Zamboanga Peninsula),2020 Quarter 1,..,..
233,..Gourami,..Region X (Nothern Mindanao),2020 Quarter 1,..,..
234,..Gourami,..Region XI (Davao Region),2020 Quarter 1,0.04,4.65
235,..Gourami,..Region XII (SOCCSKSARGEN),2020 Quarter 1,0.20,12.45
236,..Gourami,..Region XIII (Caraga),2020 Quarter 1,..,..
237,..Gourami,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020 Quarter 1,..,..
238,..Mudfish,..National Capital Region (NCR),2020 Quarter 1,..,..
239,..Mudfish,..Cordillera Administrative Region (CAR),2020 Quarter 1,..,..
240,..Mudfish,..Region I (Ilocos Region),2020 Quarter 1,11.98,1171.89
241,..Mudfish,..Region II (Cagayan Valley),2020 Quarter 1,3.63,386.17
242,..Mudfish,..Region III (Central Luzon),2020 Quarter 1,42.08,4434.18
243,..Mudfish,..Region IV-A (CALABARZON),2020 Quarter 1,0.01,1.68
244,..Mudfish,..MIMAROPA Region,2020 Quarter 1,0.01,0.44
245,..Mudfish,..Region V (Bicol Region),2020 Quarter 1,0.03,3.00
246,..Mudfish,..Region VI (Western Visayas),2020 Quarter 1,0.01,1.74
247,..Mudfish,..Region VII (Central Visayas),2020 Quarter 1,0.10,11.66
248,..Mudfish,..Region VIII (Eastern Visayas),2020 Quarter 1,0.00,0.30
249,..Mudfish,..Region IX (Zamboanga Peninsula),2020 Quarter 1,11.47,802.68
250,..Mudfish,..Region X (Nothern Mindanao),2020 Quarter 1,3.97,415.08
251,..Mudfish,..Region XI (Davao Region),2020 Quarter 1,1.90,206.82
252,..Mudfish,..Region XII (SOCCSKSARGEN),2020 Quarter 1,13.47,1176.06
253,..Mudfish,..Region XIII (Caraga),2020 Quarter 1,0.08,6.19
254,..Mudfish,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020 Quarter 1,..,..
255,..Freshwater Prawn,..National Capital Region (NCR),2020 Quarter 1,..,..
256,..Freshwater Prawn,..Cordillera Administrative Region (CAR),2020 Quarter 1,..,..
257,..Freshwater Prawn,..Region I (Ilocos Region),2020 Quarter 1,0.00,0.18
258,..Freshwater Prawn,..Region II (Cagayan Valley),2020 Quarter 1,0.05,20.14
259,..Freshwater Prawn,..Region III (Central Luzon),2020 Quarter 1,..,..
260,..Freshwater Prawn,..Region IV-A (CALABARZON),2020 Quarter 1,0.02,9.32
261,..Freshwater Prawn,..MIMAROPA Region,2020 Quarter 1,..,..
262,..Freshwater Prawn,..Region V (Bicol Region),2020 Quarter 1,..,..
263,..Freshwater Prawn,..Region VI (Western Visayas),2020 Quarter 1,0.38,56.52
264,..Freshwater Prawn,..Region VII (Central Visayas),2020 Quarter 1,0.00,0.76
265,..Freshwater Prawn,..Region VIII (Eastern Visayas),2020 Quarter 1,..,..
266,..Freshwater Prawn,..Region IX (Zamboanga Peninsula),2020 Quarter 1,..,..
267,..Freshwater Prawn,..Region X (Nothern Mindanao),2020 Quarter 1,..,..
268,..Freshwater Prawn,..Region XI (Davao Region),2020 Quarter 1,0.01,0.98
269,..Freshwater Prawn,..Region XII (SOCCSKSARGEN),2020 Quarter 1,0.01,0.37
270,..Freshwater Prawn,..Region XIII (Caraga),2020 Quarter 1,..,..
271,..Freshwater Prawn,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020 Quarter 1,..,..
272,..Others,..National Capital Region (NCR),2020 Quarter 1,153.25,4563.49
273,..Others,..Cordillera Administrative Region (CAR),2020 Quarter 1,..,..
274,..Others,..Region I (Ilocos Region),2020 Quarter 1,4.33,287.67
275,..Others,..Region II (Cagayan Valley),2020 Quarter 1,0.65,60.75
276,..Others,..Region III (Central Luzon),2020 Quarter 1,74.58,18080.07
277,..Others,..Region IV-A (CALABARZON),2020 Quarter 1,..,..
278,..Others,..MIMAROPA Region,2020 Quarter 1,0.24,223.64
279,..Others,..Region V (Bicol Region),2020 Quarter 1,8.18,1072.50
280,..Others,..Region VI (Western Visayas),2020 Quarter 1,4.90,617.90
281,..Others,..Region VII (Central Visayas),2020 Quarter 1,2.21,1096.41
282,..Others,..Region VIII (Eastern Visayas),2020 Quarter 1,0.00,0.54
283,..Others,..Region IX (Zamboanga Peninsula),2020 Quarter 1,0.54,237.66
284,..Others,..Region X (Nothern Mindanao),2020 Quarter 1,..,..
285,..Others,..Region XI (Davao Region),2020 Quarter 1,3.35,684.14
286,..Others,..Region XII (SOCCSKSARGEN),2020 Quarter 1,0.09,4.83
287,..Others,..Region XIII (Caraga),2020 Quarter 1,14.73,9543.22
288,..Others,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020 Quarter 1,0.03,2.75
289,..Oyster,..National Capital Region (NCR),2020 Quarter 1,..,..
290,..Oyster,..Cordillera Administrative Region (CAR),2020 Quarter 1,..,..
291,..Oyster,..Region I (Ilocos Region),2020 Quarter 1,212.24,6401.75
292,..Oyster,..Region II (Cagayan Valley),2020 Quarter 1,54.41,644.75
293,..Oyster,..Region III (Central Luzon),2020 Quarter 1,38.41,1248.46
294,..Oyster,..Region IV-A (CALABARZON),2020 Quarter 1,63.91,2651.76
295,..Oyster,..MIMAROPA Region,2020 Quarter 1,..,..
296,..Oyster,..Region V (Bicol Region),2020 Quarter 1,..,..
297,..Oyster,..Region VI (Western Visayas),2020 Quarter 1,1587.28,25619.68
298,..Oyster,..Region VII (Central Visayas),2020 Quarter 1,228.96,3525.96
299,..Oyster,..Region VIII (Eastern Visayas),2020 Quarter 1,0.85,17.00
300,..Oyster,..Region IX (Zamboanga Peninsula),2020 Quarter 1,123.13,2193.81
301,..Oyster,..Region X (Nothern Mindanao),2020 Quarter 1,..,..
302,..Oyster,..Region XI (Davao Region),2020 Quarter 1,7.66,76.63
303,..Oyster,..Region XII (SOCCSKSARGEN),2020 Quarter 1,..,..
304,..Oyster,..Region XIII (Caraga),2020 Quarter 1,..,..
305,..Oyster,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020 Quarter 1,..,..
306,..Mussel,..National Capital Region (NCR),2020 Quarter 1,43.56,1864.21
307,..Mussel,..Cordillera Administrative Region (CAR),2020 Quarter 1,..,..
308,..Mussel,..Region I (Ilocos Region),2020 Quarter 1,2.33,81.55
309,..Mussel,..Region II (Cagayan Valley),2020 Quarter 1,..,..
310,..Mussel,..Region III (Central Luzon),2020 Quarter 1,3.80,379.60
311,..Mussel,..Region IV-A (CALABARZON),2020 Quarter 1,543.49,19299.16
312,..Mussel,..MIMAROPA Region,2020 Quarter 1,120.95,999.03
313,..Mussel,..Region V (Bicol Region),2020 Quarter 1,29.37,1059.17
314,..Mussel,..Region VI (Western Visayas),2020 Quarter 1,3529.83,53366.09
315,..Mussel,..Region VII (Central Visayas),2020 Quarter 1,..,..
316,..Mussel,..Region VIII (Eastern Visayas),2020 Quarter 1,2134.34,38431.99
317,..Mussel,..Region IX (Zamboanga Peninsula),2020 Quarter 1,..,..
318,..Mussel,..Region X (Nothern Mindanao),2020 Quarter 1,1.71,97.60
319,..Mussel,..Region XI (Davao Region),2020 Quarter 1,..,..
320,..Mussel,..Region XII (SOCCSKSARGEN),2020 Quarter 1,..,..
321,..Mussel,..Region XIII (Caraga),2020 Quarter 1,..,..
322,..Mussel,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020 Quarter 1,..,..
323,..Seaweed,..National Capital Region (NCR),2020 Quarter 1,..,..
324,..Seaweed,..Cordillera Administrative Region (CAR),2020 Quarter 1,..,..
325,..Seaweed,..Region I (Ilocos Region),2020 Quarter 1,1.15,37.50
326,..Seaweed,..Region II (Cagayan Valley),2020 Quarter 1,7.21,54.09
327,..Seaweed,..Region III (Central Luzon),2020 Quarter 1,13.57,108.56
328,..Seaweed,..Region IV-A (CALABARZON),2020 Quarter 1,19.72,246.67
329,..Seaweed,..MIMAROPA Region,2020 Quarter 1,9870.96,65978.36
330,..Seaweed,..Region V (Bicol Region),2020 Quarter 1,5012.80,60262.85
331,..Seaweed,..Region VI (Western Visayas),2020 Quarter 1,26684.44,266987.92
332,..Seaweed,..Region VII (Central Visayas),2020 Quarter 1,15512.11,92935.48
333,..Seaweed,..Region VIII (Eastern Visayas),2020 Quarter 1,1112.73,5571.46
334,..Seaweed,..Region IX (Zamboanga Peninsula),2020 Quarter 1,67680.34,549358.53
335,..Seaweed,..Region X (Nothern Mindanao),2020 Quarter 1,8618.75,105533.37
